lecturer_score,single_agent_score,multi_agent_score
81.49665577933006,83.70185132378023,80.38384005314828
77.20180108968792,77.51916546640606,69.61460464674832
53.36057983929686,54.69697316165073,50.0
71.44098009178937,72.74294025988189,71.09114829477406
69.91601879051662,65.37530557281146,65.40465742716572
80.09310591013592,77.06078378943977,83.81971058566005
82.89237709259135,70.67605436393319,79.63319468916437
90.20348812069707,84.4176945985263,90.95989017954648
83.72056238247349,90.64338723480124,87.19514173968169
81.10359448547408,79.27298978091267,82.78809087581762
72.85128482790617,73.70168303799383,73.78698229472407
77.29200946808635,77.1258934146146,76.62646161500032
70.66183897622298,65.41907887430192,71.76263520746267
79.37476379403938,82.38475322914663,76.89422311275165
78.78803418828595,80.6498155376572,75.33726313471962
85.23503921584465,82.50448379166042,85.01101520498226
82.8539528151553,85.30552009536832,79.21192897997211
85.62314328233067,85.84238331121459,85.02263694584545
92.78386786498356,95.38073163718164,92.67422077400975
81.12173495833568,76.75757725768484,82.06813251360965
71.2921970787506,64.83461307010656,69.24541049045101
62.6523888063589,66.03783301996533,65.39271534708504
75.47026317905828,78.72549593970957,75.4810932701791
76.19070326977368,84.14841073737503,71.86115291822496
73.30944979299916,72.40243238214482,72.39498527117901
68.53579933256717,74.21251108943837,74.12427983302318
82.84175294159704,76.71484149909138,85.9777134554688
84.18666400532061,87.52236100189585,84.01261399561987
79.19930647367859,78.6117017553157,79.03650749077539
76.65195499925052,76.40704453696816,74.6305581923269
75.47882958666312,76.6039737457916,75.59044427004642
67.39971345300371,68.18053540781708,71.76633292050252
82.75197312787652,78.24737473518418,80.28211891291835
81.94450411357406,85.20791998380984,82.90747412833738
77.42167709842636,70.43656360926454,72.321786267783
81.18289041100265,78.68339348541322,78.18046450153308
74.61995918571483,80.88922034415722,77.17438219664794
68.43373018645671,65.55744130065102,70.27060860994425
83.46132867889045,81.07267152764291,80.96482347264777
72.5048220311364,68.79787333752583,72.12585229210177
72.34408620006195,66.86467778806168,74.66079994600513
77.93831776864059,65.1519196052696,83.59072265163287
83.88670830621375,90.52172585324374,83.54225819982356
86.66364777521225,91.92250454881622,86.34855285570134
93.18525171289288,93.83201700451578,94.91150051170128
67.4256822484318,63.239837741489445,67.78737270150164
67.58801426869229,66.1912378392204,63.75449452032876
84.03521141765938,97.5282079930151,91.9422187632397
67.06275747370985,67.89758820816029,69.7257450289328
89.95339596427172,84.33114575594298,89.83916624271284
88.99015237402656,92.11238355344511,86.49576106334482
79.31835715923457,79.76619092893706,80.21221687386657
72.9572521398057,66.11113278631484,77.2195481923775
79.36181050751907,76.24509223370573,79.4438477330126
59.52692766793178,63.48064727841685,56.64956415264241
81.9448166068101,86.34282671231382,87.64924954621013
81.76764607952951,83.23936108901547,83.645508870619
74.16835372046829,74.19054424769459,74.39573153073418
82.3505966411369,77.4759563998843,80.84063358291652
79.69848290674265,77.63716734419607,77.96596761070191
88.66597195800831,88.85780089214154,93.74660470713442
73.0191551734209,68.93885928757807,68.73069731001303
