submission_id,length
S000,135.54370133139685
S001,116.07405030788168
S002,172.58525170962216
S003,185.0002402750328
S004,138.9828902918154
S005,155.26674289839264
S006,125.7151230855019
S007,185.46469075344467
S008,157.12331004543444
S009,94.67796909190098
S010,150.7805847172419
S011,137.7790643468293
S012,125.35048204454077
S013,198.85050693950006
S014,169.85053743234138
S015,176.28461760337757
S016,175.13316730929216
S017,208.73194238339957
S018,104.86533030856442
S019,150.32971338775678
S020,129.6239965780001
S021,212.5478234044654
S022,203.36512839338428
S023,109.12420283170735
S024,143.83324386494667
S025,128.11928610878095
S026,183.19901771668236
S027,186.40544640685735
S028,175.87435238801052
S029,188.39538459363138
S030,129.22684194668997
S031,152.71755278914094
S032,174.46595840458977
S033,170.27992253165314
S034,180.38466218817157
S035,163.67606505830375
S036,249.27177529016163
S037,162.2892665657455
S038,151.5703821343899
S039,200.30418738535315
S040,127.54297775030075
S041,181.90405514940934
S042,163.39295465560605
S043,190.44519109976272
S044,198.3198637541034
S045,125.77400069087848
S046,237.08954282261445
S047,209.95355599918767
S048,128.2058616431474
S049,188.16285338319713
S050,157.48879645465834
S051,173.24115129869858
S052,183.20911117769091
S053,197.76919526124126
S054,187.5182703301635
S055,222.02301753993063
S056,161.50605868259552
S057,184.811789758534
S058,239.44977213484836
S059,112.37631193987623
S060,104.60037797086757
S061,134.85980757447976
S062,195.2942055749632
S063,157.82879270677412
S064,150.96199480849103
S065,192.70902817823037
S066,206.03485879362555
S067,235.72396480936837
S068,175.31772090952532
S069,161.03763599381276
S070,195.58339006159244
S071,212.2103845379021
S072,149.93553754607493
S073,214.62992153818703
S074,146.8880445195593
S075,124.6001988099877
S076,118.11105647327975
S077,178.99573442732415
S078,95.15028326742623
S079,192.34863073562633
S080,174.71823770270194
S081,137.28709221778178
S082,187.79603948490862
S083,184.09438793817947
S084,102.56013024902464
S085,190.43368525862908
S086,196.02700242474327
S087,208.28671758167027
S088,129.67489952282787
S089,203.09304354381942
S090,121.9098304153624
S091,220.04068463024694
S092,125.80384529535152
S093,122.1108302280142
S094,260.0
S095,171.72833229891737
S096,164.5028541696226
S097,150.25856598061597
S098,230.9128100588951
S099,123.48023810001129
S100,166.03701914625626
S101,137.5641905842731
S102,245.11643784131934
S103,81.17164417241297
S104,189.19113151994904
S105,142.95612565581004
S106,176.0558637852551
S107,129.22457009334718
S108,220.55129424636527
S109,215.2351383872513
S110,199.29968328393187
S111,128.82542207215323
S112,166.87883005112514
S113,118.47358001867863
S114,190.29839288623398
S115,162.0944245433359
S116,152.99816379127864
S117,189.5428280359475
S118,220.9211509707181
S119,167.9493527218425
S120,179.58063568694217
S121,164.14329326474638
S122,150.9367641247431
S123,180.9166515309218
S124,141.0892577840456
S125,187.44281001530422
S126,93.03948467601522
S127,169.87356320217802
S128,163.86318294845802
S129,166.49773749690337
S130,160.29048719212528
S131,198.1743865492069
S132,147.2964556081668
S133,132.44666041728868
S134,214.71714288096615
S135,207.12121649595565
S136,153.29015342743298
S137,87.38039817148261
S138,225.8120097679648
S139,231.08818379575902
S140,171.78978427289442
S141,179.4241024185359
S142,190.5923522873921
S143,208.84261038874533
S144,222.96427216819916
S145,133.85920556163052
S146,153.01516246440934
S147,167.53062048005455
S148,174.46009813467327
S149,118.50030979087693
S150,160.60598626455598
S151,186.37236759774814
S152,177.72763063047503
S153,208.91674677586215
S154,181.90810140608897
S155,160.2191457678106
S156,218.65288564406237
S157,187.52470085612381
S158,143.11624601828782
S159,184.76831552568157
S160,140.95962855867404
S161,207.8467652559737
S162,187.20497412839543
S163,151.61495347629045
S164,108.48851039319084
S165,198.81199775161457
S166,215.7108086087411
S167,201.310622205136
S168,159.9247089350301
S169,211.4888444539478
S170,197.80769252656887
S171,181.55697776473858
S172,173.11145147306127
S173,203.92484975822094
S174,104.70671256175197
S175,212.4027735256961
S176,187.4016084229287
S177,90.82681921327232
S178,112.51699514722539
S179,165.78809699410564
S180,148.68103364909172
S181,196.19154269577677
S182,165.4433275651837
S183,165.32174722587413
S184,151.03965454314874
S185,170.29654140451083
S186,153.2550997197092
S187,207.81451184518824
S188,130.2100161369255
S189,175.52292174952888
S190,147.75928079662282
S191,134.56230010060054
S192,149.29905912787055
S193,193.7277005485314
S194,142.0707486385329
S195,260.0
S196,129.8284836092847
S197,131.57591134009147
S198,180.2972923856914
S199,183.82930334908843
S200,203.60243658213383
S201,224.54397143343556
S202,219.88252989586744
S203,178.009568705476
S204,123.57187399137729
S205,150.42659881694732
S206,197.32314097775063
S207,226.9983992071446
S208,188.21184466311803
S209,197.28688068071094
S210,190.25595530908137
S211,145.1847884538394
S212,149.32596483158207
S213,190.02037775564455
S214,158.96286162283604
S215,158.10517662871828
S216,197.78647955337618
S217,191.33443342871064
S218,103.78626683868514
S219,168.08005761222262
S220,126.83663286349125
S221,109.70975427075179
S222,161.7500811791016
S223,145.18021540048267
S224,183.6289955590761
S225,177.54903706464114
S226,177.53072709530454
S227,144.2951767007109
S228,142.59945402013756
S229,208.100166925237
S230,178.7052539517222
S231,155.80717271002337
S232,180.15669725106835
S233,164.00563307022333
S234,114.98157567520431
S235,174.34043831791323
S236,92.85360595941597
S237,191.27583851371276
S238,115.48011938494334
S239,189.33386530582578
S240,141.58086841069291
S241,138.1067764048061
S242,95.38175196114632
S243,216.13446647188053
S244,218.4322524360327
S245,127.79978856860814
S246,213.75223514016687
S247,175.1324612985471
S248,135.20887352949492
S249,99.07009333425674
S250,166.11741910081932
S251,164.17864994935982
S252,115.98319010356333
S253,171.05843647387994
S254,234.30612410822928
S255,190.62796178324456
S256,187.38526232294916
S257,156.11812358232186
S258,130.55210794352755
S259,158.01483488672574
S260,195.86021859668335
S261,163.95150920717816
S262,173.80039554369756
S263,116.00169891959183
S264,211.6594741716282
S265,207.40464447343044
S266,131.50662110279052
S267,256.72566632144685
S268,186.74333963376782
S269,179.36248689797083
